City,Population
Ljusdal                                           ,19048
Nordanstig                                        ,9481
Ockelbo                                           ,5898
Ovan�ker                                          ,11604
Sandviken                                         ,39175
S�derhamn                                         ,25698
H�rn�sand                                         ,25227
Kramfors                                          ,18534
Sollefte�                                         ,19693
Sundsvall                                         ,98837
Timr�                                             ,18013
�nge                                              ,9438
�rnsk�ldsvik                                      ,56162
Berg                                              ,7111
Br�cke                                            ,6478
H�rjedalen                                        ,10149
Krokom                                            ,14902
Ragunda                                           ,5414
Str�msund                                         ,11776
�re                                               ,11298
�stersund                                         ,62745
Bjurholm                                          ,2474
Dorotea                                           ,2628
Lycksele                                          ,12263
Mal�                                              ,3124
Nordmaling                                        ,7121
Norsj�                                            ,4101
Robertsfors                                       ,6767
Skellefte�                                        ,72725
Sorsele                                           ,2531
Storuman                                          ,5912
Ume�                                              ,125434
Vilhelmina                                        ,6781
Vindeln                                           ,5420
V�nn�s                                            ,8785
�sele                                             ,2821
Arjeplog                                          ,2809
Arvidsjaur                                        ,6410
Boden                                             ,28184
G�llivare                                         ,17749
Haparanda                                         ,9784
Jokkmokk                                          ,5059
Kalix                                             ,16165
Kiruna                                            ,23141
Lule�                                             ,77482
Pajala                                            ,6066
Pite�                                             ,42111
�lvsbyn                                           ,8238
�verkalix                                         ,3346
�vertorne�                                        ,4425
