 klimnr period   jan    feb    mar    apr    maj    jun    jul    aug    sep    okt    nov    dec   year
  17192  6190   33.5   29.4   26.2   26.3   35.3   47.1   69.4   73.6   52.5   48.4   46.1   36.1  523.9
  17193  6190   34.9   28.0   28.5   28.5   35.4   45.1   67.6   72.4   56.1   53.5   52.7   41.3  544.0
  17194  6190   34.8   28.4   30.2   29.7   33.9   48.3   69.1   73.3   55.6   49.7   50.2   39.3  542.5
  17197  6190   29.1   23.4   24.6   25.1   31.5   42.9   63.4   73.5   47.0   42.4   42.8   33.6  479.2
  17269  6190   33.0   26.0   27.0   26.0   31.0   41.0   61.0   63.0   52.0   47.0   46.0   35.0  488.0
  17272  6190   38.6   32.5   31.2   28.0   31.7   37.7   54.7   63.5   61.9   56.6   54.2   40.0  530.6
  17277  6190   31.3   25.5   26.1   24.3   27.4   35.3   50.6   56.4   49.3   45.7   44.1   33.9  450.0
  17278  6190   48.8   39.5   44.4   39.1   42.7   49.0   74.3   86.5   73.6   73.4   70.9   55.4  697.3
  17279  6190   36.5   33.7   31.6   27.9   31.7   39.6   60.6   61.4   59.4   53.1   55.4   43.3  534.3
  17284  6190   32.6   26.9   27.8   26.5   30.2   38.7   57.2   61.5   52.3   48.0   46.3   36.1  484.1
  17289  6190   32.2   26.2   27.5   26.8   31.5   42.6   63.1   64.7   52.0   48.0   46.0   36.0  496.5
  17290  6190   33.3   27.8   27.4   27.7   32.6   42.4   62.6   63.7   50.2   48.2   44.4   36.3  496.6
  17294  6190   29.1   23.6   24.1   23.9   28.2   39.9   57.0   59.1   47.0   43.5   40.7   31.9  448.1
  17295  6190   33.8   27.3   28.0   27.7   32.7   46.2   66.0   68.5   54.6   50.6   47.2   37.0  519.5
  17371  6190   46.2   34.7   34.8   27.5   29.6   37.6   51.8   65.6   62.5   63.0   55.9   46.9  556.1
  17376  6190   38.6   31.0   31.7   28.9   32.3   42.3   58.4   66.1   59.8   55.2   52.7   41.1  538.1
  17381  6190   39.8   33.2   34.6   29.0   31.0   44.1   53.8   63.0   60.1   55.3   52.4   43.6  539.9
  17388  6190   36.2   29.7   30.2   31.1   30.6   45.0   61.9   60.8   58.7   52.0   48.7   38.6  523.4
  17389  6190   35.1   29.3   28.5   26.4   29.9   46.0   55.7   66.2   56.3   52.0   44.3   36.6  506.2
  17390  6190   28.7   23.5   23.8   22.2   25.5   36.7   48.8   54.2   45.7   42.1   38.2   30.6  420.0
  17395  6190   31.6   24.9   26.3   25.6   30.7   45.2   64.3   62.6   51.8   47.2   43.0   34.7  487.8
  17396  6190   34.0   27.3   28.6   28.7   31.6   45.0   61.6   65.5   51.5   48.1   46.1   36.8  505.0
