 klimnr period   jan    feb    mar    apr    maj    jun    jul    aug    sep    okt    nov    dec   year
   5443  6190   73.2   49.0   58.8   53.6   49.3   60.5   72.9   62.9   71.1   77.0   97.2   83.4  808.8
   5446  6190   72.8   49.6   58.7   55.0   54.3   55.3   79.4   66.6   73.5   78.7   94.4   79.0  817.4
   5455  6190   47.8   32.1   36.1   35.2   41.3   47.4   62.2   48.6   55.4   49.1   59.9   49.9  565.1
   5458  6190   41.3   29.7   32.8   32.8   39.1   43.6   64.6   50.6   51.7   49.2   53.8   44.2  533.2
   5472  6190   38.5   26.3   31.4   29.7   34.2   38.5   53.8   43.1   47.1   44.8   50.3   42.2  479.9
   6200  6190   61.2   37.7   53.6   46.1   49.8   67.1   85.1   73.1   76.6   72.4   79.0   72.5  774.2
   6201  6190   38.4   25.0   35.3   32.8   36.8   49.8   62.8   56.3   54.7   49.2   52.6   45.8  539.6
   6202  6190   55.3   34.2   48.5   44.0   47.0   65.2   85.7   73.4   74.8   67.9   73.8   67.4  737.2
   6203  6190   40.6   25.2   37.2   35.7   38.9   47.5   66.1   58.3   55.2   50.9   55.8   48.7  558.3
   6204  6190   50.3   30.9   44.1   40.3   43.2   58.9   78.0   66.6   67.5   61.2   66.8   60.9  668.7
   6205  6190   55.5   33.4   48.6   41.4   43.8   65.2   82.5   71.4   74.4   67.7   72.7   67.3  723.9
   6208  6190   50.0   31.7   44.0   38.9   40.6   61.3   77.1   64.2   67.1   60.9   67.5   60.1  663.4
   6209  6190   40.5   26.3   36.6   33.7   36.6   56.5   73.2   63.6   63.4   54.8   56.6   52.0  599.6
   6211  6190   41.3   26.5   39.0   34.5   36.1   54.9   69.8   61.8   61.7   54.2   55.4   49.1  588.0
   6212  6190   38.9   27.2   36.9   35.6   43.0   57.5   81.3   69.7   64.5   57.5   59.9   54.6  626.7
   6213  6190   55.0   35.0   49.0   42.0   46.0   65.0   82.0   74.0   74.0   70.0   77.0   66.0  735.0
   6215  6190   42.4   27.9   43.0   40.4   44.9   61.1   78.6   74.7   70.2   63.6   67.0   54.5  668.3
   6218  6190   49.0   31.9   44.8   38.5   43.4   63.6   79.2   74.1   70.2   65.9   70.7   62.3  693.6
   6219  6190   43.9   28.3   38.6   36.5   39.0   45.7   60.1   60.9   55.5   50.0   57.0   50.0  565.5
   6220  6190   60.0   38.7   52.8   46.0   47.9   67.7   88.7   80.6   79.3   76.2   82.8   71.7  792.4
   6222  6190   79.5   52.0   71.0   61.1   58.0   81.2  113.7   98.2  105.4  107.0  119.6  101.1 1045.6
   6223  6190   48.8   34.5   46.2   39.5   43.1   56.7   80.3   77.8   69.9   67.7   72.9   62.1  699.3
   6226  6190   45.7   29.3   40.4   36.1   38.2   52.2   68.7   63.5   62.2   57.3   62.6   55.3  611.3
   6227  6190   56.4   36.2   49.6   43.9   45.8   64.8   85.8   76.7   76.1   70.9   77.6   68.7  752.6
   6240  6190   61.8   38.0   51.3   43.4   44.9   64.4   82.2   86.1   88.5   79.6   81.6   74.0  795.7
   6241  6190   53.8   31.9   44.5   38.5   41.7   60.5   70.8   85.6   78.5   66.3   70.6   60.1  702.8
   6248  6190   82.9   53.6   70.2   54.9   51.4   80.7   95.3  108.0  107.0  101.8  109.3   99.5 1014.4
   6252  6190   57.0   35.0   45.0   39.0   44.0   54.0   68.0   80.0   76.0   75.0   71.0   65.0  709.0
   6254  6190   91.8   61.3   75.2   61.1   60.7   79.6  106.3  102.0  115.3  114.3  123.7  110.1 1101.3
   6255  6190   55.2   34.9   43.4   37.8   43.6   51.5   68.4   68.3   72.5   69.5   68.2   58.9  673.8
   6256  6190   62.9   38.9   50.2   44.7   48.6   63.6   84.6   85.6   91.1   88.1   86.6   73.1  815.6
   6257  6190   88.5   55.5   68.7   55.1   59.7   77.5  106.0  107.2  113.9  112.2  112.5   96.5 1053.3
   6259  6190   51.7   32.1   41.8   38.9   44.2   58.0   68.8   81.5   77.4   75.7   70.2   61.5  701.8
   6263  6190   43.8   27.5   39.1   35.3   36.9   48.5   64.6   61.3   59.5   55.5   59.9   52.7  584.7
   6271  6190   54.6   34.7   48.7   42.0   46.0   65.1   82.2   73.8   73.5   70.0   76.6   65.5  732.7
   6272  6190   68.4   43.8   61.7   52.5   56.9   78.5  104.7   92.3   93.0   86.7   93.6   84.6  916.6
   6301  6190   76.4   46.2   63.2   52.2   49.6   70.7   88.1   71.7   85.5   86.7   94.3   88.5  873.1
   6302  6190   63.5   39.4   47.9   42.0   46.2   52.9   72.3   56.8   66.4   67.4   76.8   67.2  699.3
   6303  6190   71.1   45.1   54.8   47.8   45.6   62.4   79.2   59.7   71.9   72.0   85.6   78.0  772.5
   6304  6190   56.7   33.5   42.9   38.6   41.6   55.3   69.7   52.6   61.7   59.5   65.5   57.0  634.7
   6305  6190   69.2   42.3   57.4   50.6   48.8   69.9   89.7   69.8   83.1   79.8   89.1   80.7  830.6
   6306  6190   63.4   38.3   49.4   43.8   42.6   55.5   73.7   58.6   65.2   66.0   73.7   63.4  693.5
   6307  6190   61.1   39.2   51.3   44.7   44.5   67.3   83.8   62.9   72.2   67.6   76.2   70.9  741.8
   6308  6190   62.9   39.0   47.4   43.6   41.5   55.1   74.2   55.7   67.5   66.5   74.5   66.9  702.2
   6314  6190   71.5   43.4   57.5   51.5   50.8   69.4   88.3   73.9   84.5   77.8   89.7   81.9  840.3
   6317  6190   81.7   52.1   65.4   58.2   55.1   74.7   97.1   84.0   96.1   91.5  104.2   99.0  959.3
   6322  6190   60.8   38.1   48.1   43.6   44.1   63.6   76.6   67.4   71.0   64.5   68.7   64.9  711.5
   6323  6190   58.3   38.8   49.0   42.9   45.8   59.1   81.0   77.3   71.6   68.4   76.2   67.1  735.6
   6328  6190   67.3   44.8   56.7   49.3   51.1   68.3   96.1   72.2   82.9   77.2   83.5   78.5  817.7
   6330  6190   73.9   48.4   66.0   53.6   51.9   78.3  108.2   82.0   91.5   83.7   95.0   93.6  926.0
   6332  6190   76.8   48.9   69.4   52.5   52.2   83.7  118.4   89.0   96.7   88.4   97.4   95.6  968.9
   6333  6190   70.0   42.1   59.1   48.7   46.6   63.3   92.7   76.0   82.3   77.1   85.0   77.5  820.4
   6334  6190   57.0   35.2   51.3   43.0   46.0   67.1   95.1   86.1   81.1   68.3   74.8   68.3  773.2
   6335  6190   88.8   56.3   72.5   57.8   56.5   86.6  111.6   96.6  104.3   96.9  105.5  107.2 1040.6
   6342  6190   93.9   59.9   76.1   61.1   55.1   82.9  110.3  106.2  118.8  106.1  125.6  112.6 1108.6
   6343  6190   81.2   51.9   66.5   55.8   55.6   78.8  104.9   93.6  100.8   92.3  103.7   94.9  980.0
   6344  6190   88.0   57.2   73.6   57.3   55.4   77.1  108.7  101.4  111.7  104.1  117.3  105.6 1057.3
   6345  6190   92.7   59.7   76.6   62.0   55.6   79.2  109.2   98.6  110.4  104.2  121.5  107.7 1076.7
   6346  6190   74.2   47.3   61.1   52.3   51.6   72.6  100.3   81.9   89.0   81.4   97.7   91.2  900.4
   6348  6190   98.2   62.4   79.0   61.3   59.0   85.6  110.9  111.3  118.4  113.2  127.8  115.5 1142.6
   6349  6190   69.2   43.7   54.4   47.3   48.8   63.2   83.3   77.9   80.2   74.4   88.3   77.5  809.6
   6350  6190   63.5   41.5   52.7   45.7   47.5   62.9   83.7   72.6   81.5   67.4   78.1   69.2  766.1
   6351  6190   56.8   36.5   45.9   41.4   44.4   56.5   76.3   67.9   73.7   64.2   72.8   63.9  700.4
   6353  6190  100.7   66.0   80.9   66.0   67.2   88.7  119.4  116.9  124.5  117.9  129.0  115.4 1192.5
   6354  6190   81.9   52.8   66.4   55.4   55.4   75.6  101.3   94.5  102.4   95.6  106.8   94.7  982.9
   6355  6190   64.6   41.4   51.6   45.4   47.4   61.6   82.5   75.0   80.5   72.8   82.7   72.9  778.3
   6356  6190   74.3   48.0   59.8   50.2   54.7   71.1   88.9   88.6   97.1   86.8   97.5   82.1  900.5
   6360  6190   90.9   59.4   71.2   56.9   58.3   76.5   99.8  101.9  113.1  107.8  119.6  104.6 1050.9
   6371  6190   60.5   38.5   47.2   42.6   44.6   55.0   73.9   59.6   67.1   66.4   75.2   65.4  696.0
   6372  6190   84.5   53.0   70.6   57.5   57.2   83.1  113.4   97.8  104.4   95.8  105.7  100.8 1023.8
   6373  6190   90.2   57.2   75.1   59.4   58.5   82.7  113.3  104.3  112.5  103.8  117.3  104.4 1078.8
   6400  6190   56.6   37.3   43.5   42.5   46.3   53.8   71.3   55.4   62.2   60.5   68.5   61.9  663.7
   6401  6190   36.6   26.5   30.7   30.4   36.8   39.8   58.0   48.8   48.3   47.7   49.8   40.1  493.6
   6402  6190   40.3   29.8   34.5   31.0   34.5   37.3   54.8   41.4   53.4   46.3   49.3   43.0  495.8
   6403  6190   47.7   33.0   36.2   36.1   42.4   47.4   64.0   50.1   54.8   50.6   53.7   45.7  561.8
   6404  6190   49.5   30.8   37.4   37.0   41.0   45.8   64.1   48.5   55.0   52.2   58.9   50.0  570.3
   6405  6190   37.9   26.8   31.4   29.8   40.2   43.4   62.0   51.1   53.7   48.4   51.8   42.1  518.6
   6406  6190   44.2   31.3   37.2   34.7   38.4   39.7   60.4   52.3   56.3   52.4   55.7   47.9  550.6
   6407  6190   43.6   29.7   34.8   33.3   37.8   42.2   59.3   54.0   54.6   50.9   58.3   46.9  547.1
   6408  6190   57.4   35.3   45.3   43.3   47.4   58.5   73.8   57.4   64.6   62.2   65.5   58.9  666.9
   6409  6190   54.4   36.0   43.5   41.3   40.9   48.3   71.5   54.4   64.5   59.5   67.6   58.3  638.9
   6411  6190   45.0   29.0   35.8   34.2   36.8   42.4   63.8   51.8   57.7   52.1   55.8   48.5  552.8
   6412  6190   62.5   42.0   47.7   43.1   44.7   53.1   73.2   61.6   72.4   67.1   72.9   64.2  704.5
   6413  6190   48.3   30.9   37.9   36.0   39.8   44.7   63.3   47.7   56.5   51.4   57.9   49.0  563.3
   6414  6190   56.4   35.7   45.1   37.8   43.2   47.0   65.6   55.4   63.1   63.2   67.6   58.7  638.8
   6415  6190   51.3   31.2   42.7   36.8   40.8   51.1   68.4   54.8   56.3   56.1   57.9   51.6  599.0
   6417  6190   61.2   39.1   46.9   43.5   42.9   50.0   69.4   62.6   67.5   62.8   69.1   60.8  675.7
   6420  6190   59.2   38.5   45.9   42.5   46.3   57.6   77.8   61.2   71.0   64.3   72.0   63.0  699.4
   6421  6190   58.2   38.5   45.8   42.5   41.5   51.9   73.4   57.2   66.4   62.4   70.7   61.7  670.1
   6422  6190   57.2   39.7   46.0   41.4   45.8   54.8   79.4   61.2   71.3   68.1   74.2   63.5  702.7
   6425  6190   62.0   40.0   48.9   45.9   48.5   56.6   77.5   65.0   74.5   67.0   74.7   66.3  727.5
   6429  6190   56.5   38.0   44.5   41.7   45.6   53.9   74.9   59.2   68.7   62.8   69.2   60.7  675.7
   6433  6190   50.9   33.5   40.9   39.8   44.3   50.7   76.0   60.5   68.1   56.6   60.7   54.8  636.6
   6437  6190   58.4   37.6   47.3   42.6   45.3   61.4   78.9   66.4   79.4   68.5   71.7   64.4  721.9
   6438  6190   63.4   41.3   48.8   43.3   44.4   64.8   80.3   70.5   78.7   67.1   72.1   65.4  740.1
   6440  6190   47.5   33.3   39.8   39.0   44.5   49.7   72.9   57.5   64.8   54.7   60.0   51.2  615.1
   6441  6190   48.2   33.0   39.5   38.8   43.9   56.1   75.5   64.4   71.2   59.0   60.1   53.7  643.4
   6445  6190   49.9   33.8   40.2   37.7   45.1   50.7   75.4   58.6   65.2   55.0   59.9   53.0  624.7
   6450  6190   50.4   32.6   41.3   39.2   42.7   57.8   75.4   58.0   69.6   55.1   59.3   53.1  634.6
   6451  6190   49.2   32.9   39.1   37.4   43.6   52.9   71.5   56.4   66.7   55.4   59.7   53.0  617.7
   6452  6190   52.1   34.9   41.4   39.6   47.6   54.9   76.6   57.4   71.0   57.8   63.4   55.6  652.6
   6455  6190   53.0   32.9   43.2   40.5   46.8   56.7   77.4   69.9   75.6   62.1   69.6   59.3  687.0
   6458  6190   51.5   31.9   40.3   38.5   49.1   55.9   76.9   65.3   72.4   59.7   61.9   51.8  655.3
   6462  6190   55.0   37.0   44.0   40.0   46.0   53.0   75.0   59.0   70.0   62.0   68.0   59.0  669.0
   6464  6190   51.0   35.0   41.4   39.2   45.7   50.3   75.5   59.7   69.0   58.5   62.5   54.5  642.4
   6502  6190   47.1   29.9   31.1   32.4   35.7   35.0   53.0   44.2   52.2   48.1   57.7   48.3  515.0
   6510  6190   44.0   29.4   33.1   29.4   30.3   35.4   50.4   43.2   50.4   50.6   54.8   46.1  499.0
   6512  6190   52.5   36.2   39.1   36.7   40.5   43.6   64.2   53.6   62.7   56.3   67.0   56.9  609.5
   6513  6190   50.6   33.1   37.6   34.6   38.1   41.7   58.0   49.7   57.3   55.1   61.6   57.6  575.1
   6514  6190   52.8   35.0   36.2   36.9   38.4   43.9   65.6   52.0   63.5   58.9   65.7   55.8  604.9
   6515  6190   54.6   35.7   40.3   37.2   41.0   46.5   69.0   50.1   62.8   60.5   68.6   57.6  624.0
   6516  6190   54.0   34.8   38.2   36.9   42.3   45.7   68.1   56.3   64.0   63.0   71.9   56.1  631.2
   6520  6190   64.1   44.3   45.2   37.2   45.0   46.3   64.6   56.0   64.7   64.0   80.2   64.8  670.5
   6525  6190   50.5   35.5   36.0   35.6   36.9   44.2   60.8   52.0   54.0   48.3   61.8   53.4  569.0
   6527  6190   59.4   41.3   47.1   42.5   48.6   55.5   76.7   59.6   71.2   65.6   73.9   63.5  705.2
   6530  6190   53.6   37.3   44.3   41.7   46.3   52.3   70.5   54.3   65.8   60.5   67.8   59.8  654.3
   6536  6190   45.6   33.2   35.7   34.6   42.9   50.2   72.5   50.7   58.3   54.2   58.5   51.0  586.3
   6537  6190   50.0   34.6   40.3   42.1   46.4   48.3   74.1   57.8   65.9   56.7   63.1   57.1  636.3
   6539  6190   44.1   31.8   36.6   38.7   44.8   49.7   70.7   53.0   61.9   54.9   56.2   50.7  592.9
   6544  6190   43.6   34.3   33.9   34.8   41.3   44.6   68.9   52.0   54.6   48.9   52.8   47.9  557.8
   6545  6190   45.6   30.6   36.1   34.8   45.4   53.7   76.4   58.9   65.8   55.4   57.2   51.5  611.2
   6550  6190   42.4   31.4   32.5   33.0   38.8   45.6   65.7   52.3   56.0   48.4   53.7   46.0  545.8
   6553  6190   53.3   38.6   38.3   40.1   43.6   49.2   65.6   53.4   63.7   52.3   58.8   57.4  614.3
   6556  6190   52.1   36.3   41.3   39.7   48.0   55.9   77.9   62.7   71.7   59.5   62.6   57.1  664.8
   6558  6190   38.7   30.5   28.4   33.4   38.7   45.9   62.9   52.2   53.1   43.7   47.8   42.4  517.6
   6559  6190   54.3   39.7   44.0   42.7   47.0   55.3   74.7   60.9   70.0   59.5   67.0   59.2  674.2
   6564  6190   53.3   37.9   42.1   39.7   45.9   50.8   77.4   60.7   67.2   59.5   66.6   57.8  658.9
   6573  6190   50.1   34.6   37.2   33.4   37.8   44.0   63.6   55.4   58.1   61.3   62.1   50.4  588.0
   6611  6190   32.9   24.3   24.9   24.3   27.1   29.7   41.3   39.1   41.3   34.8   43.1   36.8  399.5
   6612  6190   39.9   28.2   28.3   28.2   31.6   33.2   45.7   49.8   47.8   41.5   52.3   45.2  471.9
   6617  6190   48.4   34.9   35.7   35.0   38.0   38.1   57.1   49.6   55.3   50.2   61.9   53.4  557.5
   6622  6190   36.3   27.7   28.7   28.0   31.6   36.1   46.0   49.2   50.9   39.2   51.2   42.0  466.9
   6626  6190   39.4   29.4   30.0   29.4   33.3   37.0   50.2   50.2   51.5   41.7   52.6   44.6  489.3
   6632  6190   37.2   29.4   27.5   28.3   33.5   35.5   56.9   49.0   46.3   40.4   49.5   41.8  475.0
   6638  6190   39.3   31.9   30.3   33.2   35.4   37.0   51.4   54.1   50.6   40.3   52.6   46.6  505.5
   6641  6190   37.0   29.8   29.5   29.0   34.7   38.9   59.5   49.5   50.1   38.5   46.5   41.2  484.0
   6643  6190   37.0   29.8   29.5   29.0   34.7   38.9   59.5   49.5   50.1   38.5   46.5   41.2  484.0
   6646  6190   37.6   32.0   26.3   31.0   38.0   38.2   59.5   50.9   50.6   44.3   45.0   41.4  494.8
   6647  6190   43.6   35.1   33.5   34.1   37.7   39.2   58.1   53.6   54.9   44.6   54.3   48.5  537.2
   6650  6190   43.9   34.0   32.5   32.3   35.8   37.5   54.3   50.9   55.2   42.8   52.5   48.8  520.2
   6653  6190   41.6   32.4   30.3   30.5   36.7   39.0   54.3   49.7   55.1   43.8   51.8   45.6  510.7
   6663  6190   42.8   33.0   32.4   32.6   38.2   40.0   60.8   51.8   53.3   46.0   54.1   47.0  532.1
   6855  6190   44.7   28.3   32.4   28.2   31.6   32.1   46.2   49.8   55.2   47.1   54.4   46.1  496.1
   7118  6190   49.0   30.4   40.2   36.3   41.4   50.2   52.5   54.7   72.8   67.1   63.3   60.4  621.7
   7119  6190   41.4   26.2   32.4   27.6   31.8   37.9   48.3   52.1   54.9   55.2   54.4   47.5  509.8
   7138  6190   40.6   26.5   35.3   32.4   41.5   43.8   50.5   60.5   65.2   67.5   56.6   52.8  571.5
   7142  6190   61.1   39.6   48.7   41.2   48.9   58.9   67.9   74.9   80.2   82.7   82.0   71.8  757.8
   7143  6190   56.5   35.0   43.3   37.4   46.2   55.2   66.3   73.8   79.2   79.2   74.9   66.9  713.9
   7147  6190   62.4   40.3   49.8   41.9   50.9   61.0   68.2   76.6   80.5   84.0   83.6   75.1  774.3
   7150  6190   62.4   40.3   49.8   41.9   50.9   61.0   68.2   76.6   80.5   84.0   83.6   75.1  774.3
   7156  6190   58.1   37.8   48.8   40.0   47.0   58.7   66.4   74.7   81.5   81.8   82.3   72.3  747.4
   7157  6190   53.0   35.0   43.0   36.0   42.0   52.0   60.0   64.0   72.0   76.0   74.0   60.0  665.0
   7201  6190   99.0   64.6   76.9   63.1   63.1   78.9  111.0  112.5  119.7  117.7  127.9  113.9 1148.3
   7206  6190   87.7   57.3   67.8   57.9   59.4   72.4  102.3  100.8  107.0  110.6  120.3  103.9 1047.3
   7207  6190   56.8   37.9   47.4   43.3   46.3   56.9   78.6   85.9   84.8   84.7   87.3   70.8  778.1
   7208  6190   60.6   36.3   47.3   39.9   45.8   57.9   71.5   79.6   78.9   78.7   74.1   67.9  737.5
   7209  6190   83.6   54.2   64.6   54.3   58.4   72.3   98.4   97.5  106.2  106.9  111.7   96.5 1004.6
   7212  6190   87.4   57.3   66.1   53.9   59.9   72.3   99.5   94.6  109.0  111.8  116.1   99.4 1027.3
   7215  6190   53.9   34.5   41.8   38.2   43.3   52.5   61.3   68.0   72.7   70.4   65.8   62.8  666.9
   7218  6190   82.7   54.2   63.1   54.5   61.2   71.0   93.9   95.0  104.2  106.3  107.3   95.4  988.8
   7228  6190   71.1   46.5   56.0   47.5   52.7   64.7   82.2   86.2   92.3   91.1   95.6   81.4  867.3
   7229  6190   68.0   44.4   54.2   47.0   51.5   67.4   82.7   85.0   93.3   91.1   94.8   79.1  858.6
   7230  6190   71.1   42.8   54.0   49.0   57.9   65.8   82.1   90.8   92.8   95.1   91.3   82.1  868.7
   7233  6190   77.5   50.0   61.1   50.2   54.1   63.7   86.4   88.0   97.8   96.0   98.5   88.6  911.9
   7234  6190   69.5   43.3   54.9   45.2   54.2   63.5   79.4   82.7   93.2   91.9   90.2   80.1  848.1
   7236  6190   71.8   45.9   56.6   47.6   56.1   67.0   81.0   87.5   94.4   95.9   95.0   82.3  881.1
   7237  6190   76.5   50.1   57.4   49.3   56.2   73.5   85.1   85.5   96.2   93.9  102.6   87.8  914.2
   7239  6190   73.6   45.1   58.6   47.7   55.6   63.4   83.8   87.2   97.4   94.3   95.8   89.1  891.7
   7240  6190   76.1   47.2   58.9   48.4   55.7   69.5   85.2   87.1   98.7   99.9  104.5   85.1  917.3
   7241  6190   83.6   53.2   65.9   52.0   61.3   71.1   91.2   91.6  107.4  101.1  106.2   97.0  981.5
   7242  6190   77.1   48.0   58.9   51.2   58.6   75.8   99.3   99.9  113.4  108.6  112.7   88.3  984.7
   7245  6190   86.2   54.6   63.8   54.9   58.1   73.9   83.9   83.2  100.4  105.0  116.3   95.2  975.4
   7251  6190   65.2   40.5   50.7   42.1   50.6   67.8   78.9   77.8   91.5   83.0   84.5   75.2  809.6
   7256  6190   62.3   40.5   48.2   40.4   48.2   65.2   77.3   75.7   88.2   82.8   83.9   69.4  778.5
   7263  6190   65.8   39.1   52.3   39.7   46.5   55.5   68.6   71.2   81.0   82.0   84.1   73.2  760.9
   7265  6190   73.3   46.0   57.8   47.6   54.3   69.6   81.7   84.3   95.6   94.4   96.5   83.4  884.5
   7266  6190   70.1   46.4   55.3   48.5   55.3   68.4   82.3   85.4   96.7   99.0   97.0   82.3  886.7
   7301  6190   65.0   42.6   51.5   47.4   48.9   63.9   83.7   79.1   83.9   76.3   84.8   73.2  800.3
   7302  6190   64.6   39.3   48.3   41.6   48.5   66.1   81.7   74.2   85.8   70.7   79.3   71.4  771.5
   7309  6190   75.4   49.0   57.6   50.4   51.6   66.6   84.4   82.7   89.9   84.3   91.4   82.0  865.6
   7310  6190   73.3   48.2   57.4   51.3   52.8   70.3   88.8   86.3   94.2   90.1   95.0   83.0  890.8
   7311  6190   80.0   53.4   60.5   49.5   53.5   69.8   96.2   86.5   96.8   89.9   97.9   90.3  923.6
   7317  6190   71.4   47.9   56.8   49.1   54.4   68.5   89.4   85.5   95.7   87.8   93.7   80.9  881.2
   7319  6190   74.5   49.0   57.3   52.8   56.9   70.7   91.5   88.9   96.8   89.5   96.4   83.6  907.9
   7320  6190   56.7   37.0   45.6   40.4   49.9   59.7   79.2   75.4   79.7   72.1   73.8   62.8  732.6
   7322  6190   78.9   52.2   59.0   52.8   59.7   68.4   92.1   91.5  101.5  100.2  106.7   87.7  950.5
   7323  6190   66.3   46.7   52.9   47.5   50.7   66.8   86.3   79.5   90.1   84.7   90.7   77.2  853.1
   7325  6190   70.8   46.8   55.2   50.0   55.8   67.1   88.8   87.1   96.2   88.2   94.7   79.5  880.3
   7327  6190   74.4   49.2   58.4   50.9   57.2   67.6   91.4   91.0   96.7   93.0   99.5   84.1  913.4
   7329  6190   58.8   41.6   47.4   45.3   52.7   64.5   81.0   80.7   89.3   76.0   78.3   64.8  780.4
   7332  6190   67.6   46.0   49.2   43.6   50.5   63.1   82.1   80.5   84.0   81.2   87.3   76.5  811.5
   7333  6190   71.1   46.9   54.7   48.9   54.9   67.7   86.4   83.1   94.0   89.8   94.5   79.7  871.5
   7334  6190   66.0   43.5   50.7   49.1   57.2   67.1   90.4   82.8   93.3   81.5   83.9   71.8  837.3
   7336  6190   56.2   36.8   43.3   42.9   48.6   58.4   81.2   70.0   83.3   68.9   71.6   61.6  722.8
   7339  6190   78.0   51.0   59.0   54.0   60.0   75.0   94.0   91.0  102.0   98.0  104.0   87.0  953.0
   7341  6190   71.3   47.3   53.6   48.4   58.7   67.5   87.6   82.7  101.6   92.5   91.7   75.5  880.6
   7343  6190   86.4   56.4   67.3   60.8   63.9   73.1  101.7   93.9  105.5  110.4  120.3  100.4 1040.0
   7347  6190   71.1   47.5   53.0   51.5   51.7   64.0   81.7   77.4   87.5   86.2   93.9   78.8  846.3
   7348  6190   76.0   49.6   57.8   52.4   58.1   72.7   88.4   86.1   98.5   96.5  102.4   84.8  923.2
   7355  6190   66.7   44.5   51.7   47.6   54.7   68.1   82.8   84.1   90.0   86.5   88.8   75.1  844.5
   7356  6190   51.9   35.9   39.5   40.2   47.3   52.5   76.6   66.9   75.8   67.6   65.6   55.9  675.8
   7357  6190   67.7   43.6   51.7   45.4   51.3   67.0   72.2   73.9   87.1   86.5   87.7   75.7  809.8
   7358  6190   54.4   36.4   42.3   42.7   51.5   60.4   79.2   74.8   80.7   72.7   72.7   59.8  727.5
   7361  6190   76.7   50.8   61.6   51.9   53.1   71.2   94.4   90.8   99.1   95.6  101.8   88.8  935.7
   7366  6190   57.6   37.5   43.6   44.7   52.9   60.7   81.5   76.5   82.7   72.0   72.8   62.2  744.8
   7371  6190   61.7   40.6   49.6   44.4   48.4   60.7   80.2   74.2   80.6   73.8   80.0   69.9  764.3
   7402  6190   56.1   36.6   46.4   42.3   48.4   58.6   77.7   67.4   79.7   64.1   68.8   61.2  707.4
   7403  6190   50.0   33.4   38.6   39.4   52.6   55.6   81.1   60.9   67.7   60.1   62.7   56.1  656.3
   7408  6190   51.9   33.1   38.4   39.3   47.8   62.8   74.5   61.4   71.9   61.7   63.4   55.6  661.8
   7411  6190   56.0   37.2   45.4   42.3   46.7   58.2   78.8   70.9   78.1   71.3   73.2   61.3  719.5
   7414  6190   55.6   37.0   41.1   40.4   47.0   57.6   73.8   66.5   75.0   62.0   62.5   58.8  677.3
   7415  6190   53.0   34.3   39.8   38.6   46.6   60.7   71.7   62.1   74.7   62.3   64.3   56.5  666.6
   7418  6190   56.0   37.4   44.7   43.8   53.2   62.3   87.8   81.9   80.9   75.0   75.4   63.3  754.8
   7424  6190   49.2   34.0   38.0   37.2   45.3   57.7   69.7   67.9   72.5   57.9   60.3   53.7  643.4
   7425  6190   57.9   38.7   43.0   42.2   48.9   59.9   75.5   67.4   78.4   65.2   69.1   63.1  712.5
   7426  6190   62.5   43.4   47.9   46.1   54.0   65.5   82.3   77.7   84.8   75.2   76.8   68.0  781.3
   7427  6190   63.4   41.5   48.3   46.9   55.2   61.1   83.4   78.9   87.9   74.8   82.3   72.7  796.5
   7430  6190   57.8   38.7   44.6   43.7   50.7   61.8   78.7   73.3   81.9   69.4   71.3   62.8  734.6
   7434  6190   58.9   40.9   46.9   46.7   53.1   62.0   80.9   78.8   83.9   70.1   74.3   63.8  760.0
   7435  6190   61.5   40.8   45.3   47.9   52.8   59.2   77.2   77.5   89.2   74.2   74.4   66.7  766.8
   7436  6190   56.0   37.6   44.0   43.8   51.7   62.0   79.2   74.6   81.8   69.0   69.6   61.2  730.3
   7439  6190   52.6   37.9   41.5   41.8   48.8   54.1   70.4   72.8   78.7   64.6   67.2   57.5  688.0
   7440  6190   40.5   27.8   31.5   33.8   45.1   50.0   64.5   63.5   66.7   54.8   51.2   44.4  573.8
   7442  6190   63.0   41.1   48.1   48.5   52.3   63.0   85.5   77.8   87.2   74.3   76.7   68.5  782.3
   7443  6190   55.0   37.9   43.6   42.6   51.0   58.6   70.7   74.5   77.9   68.9   68.1   60.7  710.4
   7444  6190   51.8   36.1   41.9   41.6   49.8   60.4   72.4   73.1   76.2   68.6   61.0   56.1  688.9
   7446  6190   48.1   32.0   38.1   37.3   46.0   54.3   75.0   63.9   76.2   62.8   66.0   51.9  653.8
   7447  6190   43.9   30.0   35.6   34.6   44.3   50.4   70.6   61.5   69.1   57.2   56.2   48.3  601.8
   7448  6190   42.3   27.1   33.7   38.9   44.0   47.6   71.1   56.1   65.0   55.6   56.1   44.5  581.2
   7449  6190   44.2   30.8   35.8   37.9   47.0   55.5   77.1   71.5   73.9   60.3   58.1   50.3  642.4
   7450  6190   48.4   31.8   41.1   39.0   49.5   53.2   68.7   69.7   72.7   65.9   60.8   53.5  654.2
   7453  6190   44.3   30.4   36.5   37.0   45.0   52.2   64.2   65.4   69.2   57.4   57.1   50.9  609.5
   7455  6190   52.0   34.8   39.4   39.4   46.8   51.7   72.7   63.5   69.4   60.7   61.5   53.1  644.8
   7462  6190   55.8   35.9   44.1   41.9   48.2   60.3   80.3   71.3   78.0   68.8   71.4   63.7  719.7
   7465  6190   38.5   26.4   30.1   32.4   38.1   44.1   60.0   57.0   60.8   48.8   48.0   40.9  525.1
   7472  6190   39.1   27.6   31.8   33.6   39.7   47.1   62.8   60.2   63.2   51.1   50.8   43.0  550.1
