Id;Namn;Latitud;Longitud;Höjd (m);Aktiv
72420;Landvetter Flygplats;57.6678;12.2963;154;Nej
83210;Lanna;58.3476;13.1296;80;Ja
192710;Lannavaara D;68.0487;21.9759;352;Ja
172890;Lansjärv;66.6575;22.1935;90;Nej
171770;Lappträsket;66.2283;21.7881;60;Nej
147390;Latikberg D;64.6425;17.0833;440.893;Ja
180770;Latnivaara A;67.2551;20.2704;453.191;Ja
159900;Lauker;65.6453;19.8259;360;Nej
146380;Laxbäcken;64.6389;16.4142;345;Nej
134470;Laxviken;63.7901;14.6784;315;Nej
148270;Ledningsmark;64.45;18.1333;410;Nej
144560;Leipikvattnet;64.929;14.1563;481.296;Nej
104120;Lejen;60.2;14.4;340;Nej
94150;Lekeberga;59.2317;14.8769;90;Nej
106110;Leknäs;60.1245;16.588;65;Nej
105450;Leksand;60.7248;15.0143;172.638;Ja
102110;Lekvattnet D;60.1332;12.7707;205;Nej
65590;Lenhovda;56.9893;15.2933;265;Nej
91620;Lennartsfors;59.3;11.9333;125;Nej
105090;Lernbo;60.15;15.3166;115;Nej
94590;Lesjöfors D;59.9812;14.1744;255.125;Ja
65450;Lessebo;56.7379;15.3495;162;Ja
102440;Letafors D;60.7397;12.6989;335;Ja
96250;Lida D;59.3655;16.0124;52.889;Nej
126390;Liden D;62.6553;16.888;75;Nej
63670;Lidhult D;56.828;13.4502;167.249;Ja
98220;Lidingö;59.3701;18.16;2;Nej
83320;Lidköping;58.4835;13.1479;52;Ja
145180;Lidsjöberg;64.3013;15.221;300;Nej
173780;Liehittäjä;66.2668;23.4184;135;Nej
114390;Lillhamra D;61.642;14.7998;424;Ja
114510;Lillhärdal;61.8547;14.0921;440;Nej
73320;Limmared;57.5415;13.3433;170;Nej
95350;Lindesberg D;59.5941;15.2352;85;Nej
87560;Lindö;58.9166;17.0333;18;Nej
72180;Linhult D;57.2949;12.6906;155;Ja
85250;Linköping D;58.4214;15.7372;50;Nej
65390;Linneryd;56.6592;15.1381;140;Nej
96420;Lisjö;59.7017;16.0615;60;Nej
103310;Lisskogsåsen;60.5007;13.4433;445;Nej
134180;Lit;63.3081;14.8517;270;Nej
134170;Litsnäset;63.3089;14.7065;275;Ja
78190;Ljugarn D;57.3301;18.7104;2.649;Ja
